Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2020-01-20,8657.642578125,26422375678,8411.217212604857,8245.61377216642,8151.366160744564,67.14714081910492,195.1581264871911,168.85411611159034,0.30413741672367484
2020-01-21,8745.89453125,24097418512,8447.530217079644,8280.13347509397,8182.597252935539,62.74318770891304,190.26997965922055,173.17716188057608,0.28915478036382836
2020-01-22,8680.8759765625,22600204051,8472.517178157186,8306.985194695675,8207.70323902585,63.26414801145811,179.85718464562888,174.52309768693044,0.25499818370641403
2020-01-23,8406.515625,25770680779,8465.532370122286,8313.473906955523,8217.331178475755,61.27439867772349,151.0098497466479,169.79252371893492,0.2303931675303455
2020-01-24,8445.4345703125,24397913026,8463.427749081546,8321.859026536387,8227.968315859702,56.669991850924,129.49791763383655,161.6953647497929,0.2042634317944594
2020-01-25,8367.84765625,19647331549,8453.512702899106,8324.711861636186,8234.26049013979,58.09928740398727,105.85406974440411,150.4847532559383,0.1716677224286848
2020-01-26,8596.830078125,22177678796,8468.254531776489,8341.215721888608,8250.017888065842,59.567109329941886,102.28635296014363,140.81585073200807,0.1546514954907124
2020-01-27,8909.8193359375,28647338393,8513.330883305398,8374.977651908514,8277.763331603353,66.099131221883,120.49669419668135,136.74216986899037,0.15637920227199692
2020-01-28,9358.58984375,34398744403,8599.031002222646,8432.22728893124,8321.79977317012,62.38483029457105,165.38058867577274,142.48095405334468,0.1709158129390138
2020-01-29,9316.6298828125,30682598115,8671.342971843638,8482.743395061638,8361.12159821993,61.77356314474274,195.4524566664968,153.09167386960783,0.16811584161583096
2020-01-30,9508.9931640625,32378792851,8755.28811199013,8540.330658977018,8405.189225327016,67.26951414805804,230.63128254564435,168.6188172773353,0.18020525474981847
2020-01-31,9350.529296875,29432489719,8814.64481141206,8585.038864186567,8440.47789385688,59.46489558740391,243.8452591154728,183.6790205478655,0.1744675202505743
2020-02-01,9392.875,25922656496,8872.04799264519,8628.916153289088,8475.082559877626,59.978512987907166,254.46616905235715,197.84767581398413,0.17191399338476704
2020-02-02,9344.365234375,30835736946,8918.74830519752,8667.197471359912,8505.855410664128,65.43497414650393,256.2357750018182,209.53270191672735,0.16101236877213393
2020-02-03,9293.521484375,30934096509,8955.669684603869,8700.237821274764,8533.046984439108,65.36410527458318,250.8769563879814,217.8057477435814,0.16506911245536016
2020-02-04,9180.962890625,29893183716,8977.792276254346,8725.258707421368,8554.877731337529,60.39007985372589,235.37027849119477,221.32007947541746,0.16616091226015925
2020-02-05,9613.423828125,35222060874,9040.023913307738,8770.900425598154,8589.716961509532,68.94564318991374,253.05177300435025,227.66847835442627,0.17638001925759647
2020-02-06,9729.8017578125,37628823716,9107.377115864427,8819.584554823577,8626.397557929122,78.7279718895,272.76436220068354,236.68999724388718,0.1901646998919432
2020-02-07,9795.943359375,34522718159,9174.450587534946,8868.588766571398,8663.20797044762,78.97646674765734,290.07024218755214,247.36826402186202,0.203524456759428
2020-02-08,9865.119140625,35172043762,9241.58301784729,8918.062427012426,8700.239982260662,82.24177451033995,305.54818913058807,259.00618272452624,0.21276373619876968
2020-02-09,10116.673828125,35807884663,9326.474662537867,8976.954328682208,8742.989847461815,82.41274516991116,333.3720547289049,273.88133437220307,0.22586426487548336
2020-02-10,9856.611328125,39386548075,9377.811755492925,9019.750461792688,8775.933936335306,70.65798114453034,331.39735395770185,285.3857616498479,0.22800477045909462
2020-02-11,10208.236328125,37648059389,9458.099559145692,9077.030951679199,8817.48966566044,69.35904339351434,353.07994753353705,298.92575068146465,0.23571802076730233
2020-02-12,10326.0546875,43444303830,9541.894860824954,9136.693337943114,8860.439272900961,72.23107129292164,375.0909534721468,314.1598280171798,0.23217502365539927
2020-02-13,10214.3798828125,49356071373,9606.734189986615,9187.734939877773,8898.285719260595,66.10756394269109,379.3987211041349,327.2083170618887,0.21953818925796525
2020-02-14,10312.1162109375,43338264162,9674.66524709633,9240.557784763594,8937.107367041446,72.58427718799126,385.99821046866236,338.9668078977514,0.1980456843074699
2020-02-15,9889.4248046875,43865054831,9695.325415165209,9270.806374732621,8962.80661550992,59.894460027095256,353.93438326081014,341.9604272827743,0.17122461206811332
2020-02-16,9934.43359375,43374780305,9718.305817517763,9301.515742484766,8988.587750175315,61.77437810518702,328.2756850217738,339.22340253345976,0.1544590540784675
2020-02-17,9690.142578125,45998298413,9715.601436854382,9319.373396684572,9006.89912376319,57.34707256767288,285.3872772597024,328.45593735621094,0.15005530127100478
2020-02-18,10141.99609375,47271023953,9756.513866256304,9356.920562478954,9036.055535317422,65.81441256593504,283.8097534591725,319.52654127105376,0.14754986981844648
2020-02-19,9633.38671875,46992019710,9744.708256932096,9369.458783704356,9051.161046932002,50.3204706130235,239.5590334562512,303.5328114379532,0.14581643008938974
2020-02-20,9608.4755859375,44925260237,9731.654469229348,9380.232503441333,9065.04170151078,47.99338439324097,200.21115123502932,282.8682434497126,0.14055134309350778
2020-02-21,9686.44140625,40930547513,9727.32468111123,9393.954513908877,9080.290420830932,48.196001181536374,173.21756870434183,260.9379081805078,0.13522535761471607
2020-02-22,9663.181640625,35838025154,9721.18531011958,9405.95212629304,9094.388490949586,46.62205959226346,148.2686751084293,238.40389689862016,0.12812723187206318
2020-02-23,9924.515625,41185185761,9740.637564632201,9428.938039472281,9114.184500473853,46.796126369099525,147.57641244581464,220.2382938118245,0.11679607777569591
2020-02-24,9650.1748046875,45080496648,9731.986872190331,9438.694748027849,9126.79105083623,46.57437281939175,123.758895259969,200.94232385796,0.09907703686164424
2020-02-25,9341.705078125,42515259129,9694.679864546302,9434.438223698118,9131.778177564827,35.41175913540644,79.38857593772082,176.631483316259,0.10844075872080082
